ic| current_user: 1, 'used Books GET. Auth Token: OK'
ic| current_user: 1, 'used Books GET. Auth Token: OK'
ic| current_user: 1, 'used Books GET. Auth Token: OK'
ic| data['Username']: '1', 'logged in successfully'
ic| data['Username']: '2', 'registered successfully'
ic| data['Username']: '2', 'logged in successfully'
17-01-2024 14:29:37 | ic| current_user: 5, 'used Loans DELETE.'
17-01-2024 14:30:39 | ic| current_user: 5, 'used Loans POST.'
17-01-2024 14:30:57 | ic| current_user: 5, 'used Loans DELETE.'
17-01-2024 14:34:03 | ic| current_user: 5, 'used Loans PUT.'
17-01-2024 14:34:10 | ic| current_user: 5, 'used Loans PUT.'
17-01-2024 14:41:06 | ic| data['Username']: 'waga1', 'logged in successfully'
17-01-2024 15:03:04 | ic| data['Username']: 'waga1', 'logged in successfully'
17-01-2024 15:06:40 | ic| data['Username']: 'waga1', 'logged in successfully'
17-01-2024 15:17:00 | ic| current_user: 5, 'used Loans POST.'
17-01-2024 15:18:14 | ic| current_user: 5, 'used Loans POST.'
17-01-2024 15:18:40 | ic| current_user: 5, 'used Loans POST.'
17-01-2024 15:18:51 | ic| current_user: 5, 'used Loans DELETE.'
17-01-2024 15:27:45 | ic| data['Username']: 'waga1', 'logged in successfully'
17-01-2024 15:34:39 | ic| data['Username']: 'waga1', 'logged in successfully'
17-01-2024 15:45:53 | ic| data['Username']: 'user1', 'logged in successfully'
17-01-2024 15:48:36 | ic| data['Username']: 'waga1', 'logged in successfully'
17-01-2024 16:05:49 | ic| data['Username']: '1', 'logged in successfully'
17-01-2024 16:06:43 | ic| data['Username']: 'user1', 'logged in successfully'
17-01-2024 16:15:13 | ic| loan.BookID: 4
17-01-2024 16:15:13 | ic| loan.BookID: 15
17-01-2024 16:15:13 | ic| loan.BookID: 6
17-01-2024 16:15:13 | ic| loan.BookID: 20
17-01-2024 16:15:13 | ic| loan.BookID: 17
17-01-2024 16:15:33 | ic| loan.BookID: 4
17-01-2024 16:15:33 | ic| loan.BookID: 15
17-01-2024 16:15:33 | ic| loan.BookID: 6
17-01-2024 16:15:33 | ic| loan.BookID: 20
17-01-2024 16:15:33 | ic| loan.BookID: 17
17-01-2024 16:19:10 | ic| data['Username']: 'waga1', 'logged in successfully'
17-01-2024 16:21:27 | ic| loan.BookID: 4
17-01-2024 16:21:27 | ic| loan.BookID: 15
17-01-2024 16:21:27 | ic| loan.BookID: 6
17-01-2024 16:21:27 | ic| loan.BookID: 20
17-01-2024 16:21:27 | ic| loan.BookID: 17
17-01-2024 17:41:49 | ic| data['Username']: 'user1', 'logged in successfully'
17-01-2024 17:42:37 | ic| data['Username']: 'waga1', 'logged in successfully'
17-01-2024 17:42:58 | ic| data['Username']: '1', 'logged in successfully'
17-01-2024 20:21:49 | ic| data['Username']: '1', 'logged in successfully'
